,exp,run,snapshot,pixel_similarity,structural_similarity,mean_squared_error,class
107,baseline_exp_appearance_1,a,7,0.9273358832465278,0.9475286828629328,458.2977530924479,buggy
108,baseline_exp_appearance_1,a,8,0.9254595269097222,0.9471220580884528,465.96057942708336,buggy
109,baseline_exp_appearance_1,a,9,0.8171782769097222,0.9327440443244692,536.0633056640625,buggy
110,baseline_exp_appearance_1,b,0,1.0,1.0,0.0,buggy
111,baseline_exp_appearance_1,b,1,0.9588590494791668,0.9816752530016336,168.03197781032986,buggy
112,baseline_exp_appearance_1,b,2,0.9478154839409724,0.9743932180123708,179.4714653862847,buggy
113,baseline_exp_appearance_1,b,3,0.9316612413194444,0.9557077428551966,416.8634803602431,buggy
114,baseline_exp_appearance_1,b,4,0.9311056857638887,0.9551617354857924,374.8517065429688,buggy
115,baseline_exp_appearance_1,b,5,0.9283249240451388,0.9531656449891168,429.36389322916665,buggy
116,baseline_exp_appearance_1,b,6,0.9192762586805556,0.945308997765166,571.275374077691,buggy
117,baseline_exp_appearance_1,b,7,0.9243589952256944,0.9461793182538324,505.4389127604167,buggy
118,baseline_exp_appearance_1,b,8,0.9263709852430556,0.9474902804294856,414.35804850260416,buggy
119,baseline_exp_appearance_1,b,9,0.8374867078993056,0.958605655318688,209.77604112413195,buggy
120,baseline_exp_appearance_1,c,0,1.0,1.0,0.0,buggy
121,baseline_exp_appearance_1,c,1,0.95177734375,0.9699189745398984,241.7761759440104,buggy
122,baseline_exp_appearance_1,c,2,0.9416908094618056,0.9610271352520272,373.1535679796007,buggy
123,baseline_exp_appearance_1,c,3,0.9352994791666668,0.955864213171028,390.1838186306424,buggy
124,baseline_exp_appearance_1,c,4,0.9382565646701388,0.9572173190973164,345.7786721462673,buggy
125,baseline_exp_appearance_1,c,5,0.93702392578125,0.9565706999566554,406.2429600694445,buggy
126,baseline_exp_appearance_1,c,6,0.9206797960069444,0.9446781906646708,587.750220811632,buggy
127,baseline_exp_appearance_1,c,7,0.9298296440972222,0.9492132600373164,454.067151421441,buggy
128,baseline_exp_appearance_1,c,8,0.9257088216145832,0.9460517833114744,505.3114542643229,buggy
129,baseline_exp_appearance_1,c,9,0.8168096245659722,0.940490727991856,371.4773768446181,buggy
